INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212095273,1102,,FRAUD - FALSE PRETENSE / SCHEME,D14,778,0,2021-12-30 18:10:00,2021,12,Thursday,18,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095267,3108,,FIRE REPORT,D14, ,0,2021-12-30 16:51:00,2021,12,Thursday,16,,HOBART ST,42.35501393570127,-71.15969591818359,"(42.35501393570127, -71.15969591818359)"
212095260,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,282,0,2021-12-27 19:00:00,2021,12,Monday,19,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
212095259,3115,,INVESTIGATE PERSON,B2, ,0,2021-12-30 16:45:00,2021,12,Thursday,16,,ALLEGHANY ST,42.33056976709614,-71.0995908942997,"(42.33056976709614, -71.0995908942997)"
212095252,1102,,FRAUD - FALSE PRETENSE / SCHEME,D14,778,0,2021-12-30 16:51:00,2021,12,Thursday,16,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095248,1102,,FRAUD - FALSE PRETENSE / SCHEME,B3, ,0,2021-12-30 16:23:00,2021,12,Thursday,16,,COLUMBIA RD,42.30355747915789,-71.08311604425978,"(42.30355747915789, -71.08311604425978)"
212095246,724,,AUTO THEFT,D14,778,0,2021-12-30 16:06:00,2021,12,Thursday,16,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095243,617,,LARCENY THEFT FROM BUILDING,D14, ,0,2021-12-24 12:00:00,2021,12,Friday,12,,GARDNER ST,42.35358821670218,-71.12689571386555,"(42.35358821670218, -71.12689571386555)"
212095242,3801,,M/V ACCIDENT - OTHER,B2, ,0,2021-12-30 15:37:00,2021,12,Thursday,15,,"BLUE HILL AVE & CLIFFORD ST
ROXBURY  MA 02119
UNIT",42.31904095915661,-71.07775399146878,"(42.31904095915661, -71.07775399146878)"
212095240,1109,,FRAUD - WIRE,B3,465,0,2021-08-30 00:00:00,2021,8,Monday,0,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
212095239,3006,,SICK/INJURED/MEDICAL - PERSON,B2, ,0,2021-12-30 15:41:00,2021,12,Thursday,15,,BISHOP JOE L SMITH WAY,42.30660387987266,-71.08055038375345,"(42.30660387987266, -71.08055038375345)"
212095238,3005,,SICK ASSIST,B3, ,0,2021-12-30 14:56:00,2021,12,Thursday,14,,DUNLAP ST,42.2928107904335,-71.07327594083033,"(42.2928107904335, -71.07327594083033)"
212095234,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,778,0,2021-12-30 13:35:00,2021,12,Thursday,13,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095230,3410,,TOWED MOTOR VEHICLE,D14, ,0,2021-12-30 14:31:00,2021,12,Thursday,14,,S CRESCENT CIRT,42.34765044397319,-71.16667608338989,"(42.34765044397319, -71.16667608338989)"
212095221,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D14,778,0,2021-12-30 14:26:00,2021,12,Thursday,14,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095217,2610,,TRESPASSING,B2, ,0,2021-12-30 12:44:00,2021,12,Thursday,12,,ROCKLAND ST,42.32188452678773,-71.08306612138695,"(42.32188452678773, -71.08306612138695)"
212095216,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,0,2021-12-30 11:58:00,2021,12,Thursday,11,,WASHINGTON ST,42.307750239554196,-71.08273084088506,"(42.307750239554196, -71.08273084088506)"
212095206,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,B2, ,0,2021-12-30 12:24:00,2021,12,Thursday,12,,REGENT STREET,0,0,"(0, 0)"
212095199,619,,LARCENY ALL OTHERS,B2,282,0,2021-12-29 16:00:00,2021,12,Wednesday,16,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
212095197,3005,,SICK ASSIST,B3, ,0,2021-12-30 11:29:00,2021,12,Thursday,11,,ERIE ST,42.30153144100214,-71.08257818713801,"(42.30153144100214, -71.08257818713801)"
212095190,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2, ,0,2021-12-30 11:10:00,2021,12,Thursday,11,,"CENTRE ST & COLUMBUS AVE
ROXBURY  MA 02119
UNITED ",42.324906961055135,-71.09825795741797,"(42.324906961055135, -71.09825795741797)"
212095186,641,,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,B2, ,0,2021-12-29 20:00:00,2021,12,Wednesday,20,,SACHEM ST,42.33151288438464,-71.10494900707664,"(42.33151288438464, -71.10494900707664)"
212095185,3501,,MISSING PERSON,B2, ,0,2021-12-17 09:00:00,2021,12,Friday,9,,PARKER HILL AVE,42.33267993726428,-71.10957900161517,"(42.33267993726428, -71.10957900161517)"
212095183,423,,ASSAULT - AGGRAVATED,B3, ,0,2021-12-30 09:37:00,2021,12,Thursday,9,,REGIS RD,42.270642054826254,-71.09587907849917,"(42.270642054826254, -71.09587907849917)"
212095175,1001,,FORGERY / COUNTERFEITING,B2,282,0,2021-12-25 00:00:00,2021,12,Saturday,0,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
212095171,1402,,VANDALISM,B2, ,0,2021-12-30 09:10:00,2021,12,Thursday,9,,ANNUNCIATION RD,42.335062177633304,-71.0931678123782,"(42.335062177633304, -71.0931678123782)"
212095166,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2, ,0,2021-12-30 09:22:00,2021,12,Thursday,9,,"ALBANY ST & MELNEA CASS BLVD
ROXBURY  MA 02119
UNI",42.33117798964968,-71.07700797530123,"(42.33117798964968, -71.07700797530123)"
212095155,3410,,TOWED MOTOR VEHICLE,B2, ,0,2021-12-30 08:06:00,2021,12,Thursday,8,,WAUMBECK ST,42.314961449394744,-71.08952210102635,"(42.314961449394744, -71.08952210102635)"
212095150,3115,,INVESTIGATE PERSON,B3, ,0,2021-12-30 05:44:00,2021,12,Thursday,5,,SOUTHERN AVE,42.29026232919214,-71.07473855621357,"(42.29026232919214, -71.07473855621357)"
212095141,1832,,SICK ASSIST - DRUG RELATED ILLNESS,B3,455,0,2021-12-30 02:37:00,2021,12,Thursday,2,,NORWELL ST,42.301328511133505,-71.0787087269764,"(42.301328511133505, -71.0787087269764)"
212095137,3114,,INVESTIGATE PROPERTY,B3, ,0,2021-12-30 01:37:00,2021,12,Thursday,1,,WOOLSON ST,42.281212266053835,-71.08941723495543,"(42.281212266053835, -71.08941723495543)"
212095135,3006,,SICK/INJURED/MEDICAL - PERSON,D14, ,0,2021-12-30 02:09:00,2021,12,Thursday,2,,FAIRBANKS ST,42.35071343876632,-71.1629649668814,"(42.35071343876632, -71.1629649668814)"
212095133,3501,,MISSING PERSON,D14,778,0,2021-12-30 02:32:00,2021,12,Thursday,2,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095132,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3, ,0,2021-12-29 19:32:00,2021,12,Wednesday,19,,BERNARD ST,42.293509307285674,-71.07991322860983,"(42.293509307285674, -71.07991322860983)"
212095127,2907,,VAL - OPERATING AFTER REV/SUSP.,B2, ,0,2021-12-29 23:49:00,2021,12,Wednesday,23,,WARREN ST,42.312954965882234,-71.0834507179483,"(42.312954965882234, -71.0834507179483)"
212095123,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B3,426,0,2021-12-29 22:44:00,2021,12,Wednesday,22,,BLUE HILL AVE,42.269098509623966,-71.0936145778819,"(42.269098509623966, -71.0936145778819)"
212095121,2647,,THREATS TO DO BODILY HARM,B2,329,0,2021-12-29 21:00:00,2021,12,Wednesday,21,,DEVON ST,42.30812618751114,-71.07692973888375,"(42.30812618751114, -71.07692973888375)"
212095114,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3, ,0,2021-12-29 22:34:00,2021,12,Wednesday,22,,GLENWAY ST,42.29918970386884,-71.08150445078421,"(42.29918970386884, -71.08150445078421)"
212095105,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,430,0,2021-12-29 15:00:00,2021,12,Wednesday,15,,ASHTON ST,42.28671244298007,-71.08947257791597,"(42.28671244298007, -71.08947257791597)"
212095094,1832,,SICK ASSIST - DRUG RELATED ILLNESS,B2, ,0,2021-12-29 20:16:00,2021,12,Wednesday,20,,MCGREEVEY WAY,42.33528036794274,-71.0987126025212,"(42.33528036794274, -71.0987126025212)"
212095079,617,,LARCENY THEFT FROM BUILDING,D14, ,0,2021-12-29 12:29:00,2021,12,Wednesday,12,,WALBRIDGE ST,42.34740587538171,-71.1353256611246,"(42.34740587538171, -71.1353256611246)"
212095075,3201,,PROPERTY - LOST/ MISSING,B3, ,0,2021-12-29 18:44:00,2021,12,Wednesday,18,,"FRONTENAC ST & LUCERNE ST
DORCHESTER  MA 02124
UNI",42.284458997914825,-71.08930698364837,"(42.284458997914825, -71.08930698364837)"
212095071,3005,,SICK ASSIST,B2, ,0,2021-12-29 18:08:00,2021,12,Wednesday,18,,ALLEGHANY ST,42.33056976709614,-71.0995908942997,"(42.33056976709614, -71.0995908942997)"
212095069,3115,,INVESTIGATE PERSON,D14,778,0,2021-12-29 00:00:00,2021,12,Wednesday,0,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095068,423,,ASSAULT - AGGRAVATED,B2, ,0,2021-12-29 17:15:00,2021,12,Wednesday,17,,"DUDLEY ST & COLUMBIA RD
BOSTON  MA 02125
UNITED ST",42.317010018681316,-71.06508995475389,"(42.317010018681316, -71.06508995475389)"
212095067,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D14, ,0,2021-12-29 18:00:00,2021,12,Wednesday,18,,PARK VALE AVE,42.351824463885535,-71.13313369007304,"(42.351824463885535, -71.13313369007304)"
212095063,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D14, ,0,2021-12-29 16:21:00,2021,12,Wednesday,16,,"CHESTNUT HILL AVE & HATHERLY RD
BRIGHTON  MA 02135",42.34261701456643,-71.15384798252252,"(42.34261701456643, -71.15384798252252)"
212095062,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,0,2021-12-29 16:46:00,2021,12,Wednesday,16,,MORELAND ST,42.32306312846994,-71.07709874563007,"(42.32306312846994, -71.07709874563007)"
212095061,2905,,VAL - VIOLATION OF AUTO LAW,B2, ,0,2021-12-29 16:39:00,2021,12,Wednesday,16,,HIGHLAND ST,42.3232004041107,-71.09508127736893,"(42.3232004041107, -71.09508127736893)"
212095053,1402,,VANDALISM,B3,444,0,2021-12-29 15:35:00,2021,12,Wednesday,15,,BLUE HILL AVE,42.29908734060767,-71.08652243090454,"(42.29908734060767, -71.08652243090454)"
212095047,3115,,INVESTIGATE PERSON,B2, ,0,2021-12-29 15:43:00,2021,12,Wednesday,15,,MARTIN LUTHER KING JR BLVD,42.31847226230559,-71.084092886743,"(42.31847226230559, -71.084092886743)"
212095046,1102,,FRAUD - FALSE PRETENSE / SCHEME,B3, ,0,2021-12-29 16:17:00,2021,12,Wednesday,16,,RIVER ST,42.26956689298912,-71.09075049266373,"(42.26956689298912, -71.09075049266373)"
212095032,3114,,INVESTIGATE PROPERTY,D14, ,0,2021-12-29 14:58:00,2021,12,Wednesday,14,,CENACLE RD,42.346356877959515,-71.16149497736505,"(42.346356877959515, -71.16149497736505)"
212095031,2662,,BALLISTICS EVIDENCE/FOUND,B2, ,1,2021-12-29 15:06:00,2021,12,Wednesday,15,,SOJOURNER TRUTH CT,42.33426819435391,-71.0849913976351,"(42.33426819435391, -71.0849913976351)"
